nodeName	Degree
DNAJC7	14
PITX2	34
ECSIT	49
BTBD10	6
THAP7	62
WAC	21
Q9BV07	1
KIFC3	213
NOC4L	22
DPCD	3
TARS2	16
CARD10	102
TSSK6	6
NT5C1A	2
PINK1	22
MRPL9	8
TRIM54	208
WDR61	49
KATNBL1	41
RNF32	43
WDR13	1
SPTBN4	10
CARD9	145
UNC45A	13
TUBB1	6
KLHL31	1
SLITRK6	1
TUT1	2
RPAP3	26
C19ORF44	11
SMYD3	20
ROPN1	49
ZBTB20	5
NCOA5	18
ZBTB26	35
ZNF334	3
NRIP3	6
DISC1	193
HOMER3	82
CUTC	19
ZBTB40	2
THAP1	111
WDR70	6
FAM118A	14
FBXL12	18
MACROH2A2	5
CGGBP1	17
SEPTIN3	17
CHORDC1	17
FKBPL	55
RABGEF1	40
FBXW2	13
IKZF3	160
PNMA2	33
PADI4	9
STUB1	137
MOK	2
CDK11A	6
CAMK2A	76
NOD1	27
AKT3	8
LZTS1	97
BTBD3	10
STK38L	5
AMOTL2	85
LUC7L2	62
EXOSC1	29
SNX5	13
MAD1L1	57
IKBKG	86
B4DDV3	5
SS18L1	42
ACTR2	6
NFE2	14
SIRT6	14
FRZB	8
NRIP2	5
UBQLN4	172
GLRX2	2
BAG6	231
MEOX2	654
DNALI1	73
KLF11	234
UBQLN1	320
CASP6	209
HRAS	135
GSN	204
ADRB2	27
SNCA	167
TFCP2	61
FHL3	156
GRIN2C	104
PEX26	37
ZDHHC17	228
LZTR1	54
APBB2	101
Q9Y649	125
GADD45G	63
CCDC85B	160
TK1	177
SMN1|SMN2	164
PIN4	14
MAP3K20	28
PFDN1	60
A8MTJ1	31
B7Z3D6	4
TNFSF11	20
MAP3K7	21
EED	31
RPS6KA5	32
RPN2	12
ATP1A1	5
ATP1B1	10
RASA1	24
PSMB6	12
H3C1|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H3C10|H3C11|H3C12	118
GTF3C1	23
POLA2	45
MAPKAPK3	13
H3-4	24
C7ORF25	23
TAF1D	23
WSB2	20
DNAJB11	22
KLHDC2	4
SORBS3	132
NCK2	148
NUDT21	61
GCC1	66
PRMT2	12
DVL2	86
LZTS2	231
CCNK	57
DTX2	127
PITX1	93
ENKD1	223
PIN1	181
C1ORF94	88
TEX37	45
TOLLIP	67
RBFOX2	61
HOXB9	60
OTX1	152
POM121	45
ZC3H10	46
RAMAC	48
ZNF581	107
CDC23	102
TRIP13	113
EYA2	32
DAZAP2	173
CNNM3	73
ARHGAP9	15
LRRC41	11
MGAT5B	106
SMUG1	42
CCER1	14
NEU4	14
H0Y7K9	3
H0YL21	1
FOXS1	3
GRAP2	66
HOXA9	6
PDLIM4	8
SERF2	16
CDC42EP1	13
FASTK	13
FRG1	8
GSE1	27
SF1	43
RABL6	11
ARHGEF39	5
STRBP	13
HEYL	19
RAD54L2	32
MOB4	33
TOB1	9
MYZAP	22
C9J3D2	19
LYPLA2	5
PCBD1	50
MAML3	9
FAM214B	63
SH3BP2	15
SCNM1	183
IRF9	15
DFFB	1
CASP3	29
MTUS2	332
TARDBP	204
PEX1	42
RNF11	265
PRKN	179
GADD45GIP1	64
PRPS1	126
TRAF4	104
HTRA2	68
JPH3	206
SMARCD1	162
UBC	172
TGFBR1	162
CLN6	27
SNRPC	85
MED25	25
VPS37C	99
SNRPB	84
PATZ1	92
WDR5	37
CCT5	49
DMWD	212
A8K6V0	3
B4DH63	1
TPP1	11
SMAD7	27
WIPF1	15
CTSD	22
HEXB	29
IFIT2	6
UBA1	43
VASP	17
PRKAA2	106
PTEN	32
SMAD3	150
POU5F1	3
DYNC1H1	55
SLC9A3R2	6
SMAD2	132
FAM189A2	10
LGALS9B	9
GGN	19
ARRDC1	10
EFCAB3	9
ANKRD44	5
GAS2L2	41
Q8WU02	11
PSMF1	41
KLK6	151
UBE2E3	77
ARRDC3	36
UBE2E2	50
FBXL18	23
LITAF	65
SMR3A	4
DIDO1	8
RUSC1	91
UBTD1	16
PDLIM7	55
RASD1	30
PCNA	309
CIDEB	68
ACTN1	54
