nodeName	Degree
CLDN3	6
CLDN34	5
CLDN4	5
CLDN5	9
CLDN6	5
CLDN7	5
CLDN8	5
CLDN9	5
CTSG	26
F11R	39
F2	122
FKBP1A	66
GSK3B	248
GZMA	13
JAM2	9
JAM3	10
NECTIN1	35
NECTIN2	15
NECTIN3	21
NECTIN4	6
OCLN	18
PDK1	28
PLG	57
PRSS1	13
PRSS2	11
PRSS3	9
RHOA	362
SFN	101
SMURF1	55
STK11	53
TGFB1	177
TGFBR1	133
TGFBR2	129
YWHAB	143
YWHAE	234
YWHAE/FAM22A FUSION	10
YWHAE/FAM22B FUSION	10
YWHAG	208
YWHAH	105
YWHAQ	104
YWHAZ	167
STAT1	691
MDM2	145
RB1	185
ERBB2	226
JUN	593
USF2	136
GATA2	141
ABI1	43
ABI2	21
ADAM15	8
ATF3	71
ATM	151
BCL3	87
BLK	137
BRF2	28
BRK1	29
BTK	204
CABLES1	17
CABLES2	6
CAP1	10
CAP2	8
CBFB	87
CCNA2	44
CD2AP	19
CD55	79
CDK2	222
CDK5	64
CRK	268
CRKL	175
CSF1R	98
CYFIP1	37
CYFIP2	38
DAPK1	22
DOK1	49
DOK2	38
EPHA1	42
EPHA2	114
EPHA3	39
EPHA4	41
EPHA5	35
EPHA6	35
EPHA7	36
EPHA8	26
EPHB1	75
EPHB2 VARIANT PROTEIN	6
EPHB4	50
EPHB6	49
ERBB3	195
ERBB4	192
FGR	186
FLT3	107
FOSL1	88
FYB1	31
GTF2F1	305
HCK	221
HDAC2	295
INPPL1	40
IRF1	50
JAK1	223
KIT	147
LRP8	40
LYN	306
MYC	434
NCKAP1	34
NCKAP1L	31
NELFE	65
NOTCH3	95
NR2C2	16
NRF1	69
NRP1	41
NTRK1	128
NTRK3	61
PACSIN1	12
PDGFB	184
PDGFRA	216
PDGFRB	248
PRDX1	9
PRKCD	143
PRKD1	65
PSTPIP1	8
PTPN1	84
PTPN4	5
RAD52	38
RELN	50
RET	92
RIN1	16
ROBO2	23
ROS1	3
RUNX1	82
RUNX2	110
SH3BP1	3
SH3BP2	23
SHC1	402
SHC2	51
SHC3	105
SHC4	50
SIRT6	14
SLIT1	12
SMARCA4	104
SMARCB1	92
SMC3	172
SNCA	157
SORBS3	31
SOS1	360
STAT2	448
STAT5A	226
STAT5B	192
SYK	291
TERT	63
TP63	46
TP73	103
TRIM28	64
TWIST1	20
WASF2	35
WWTR1	85
YAP1	114
ZNF263	76
ZNF274	37
FOS	415
PAX5	120
MMP1	50
MMP13	42
MMP2	88
CASP3	131
AP2A1	182
AP2A2	183
CLTA	233
CLTB	197
HIP1	118
CTCF	379
EGR1	285
MMP12	27
MMP7	48
MMP9	74
ACTN1	122
ACTN3	125
ADAM17	62
AFDN	70
CDH3	111
CFL1	21
GSN	66
IFT57	60
MMP14	52
MMP15	30
MMP16	20
MMP19	22
MMP20	18
MMP21	15
MMP23B	15
MMP24	20
MMP25	20
MMP27	15
MMP28	16
MMP8	21
MRTFA	15
MYH1	10
MYH10	36
MYH11	47
MYH13	10
MYH2	115
MYH3	42
MYH4	10
MYH6	47
MYH7	19
MYH7B	10
MYH8	40
MYH9	104
MYL1	31
RHOG	75
RHOQ	78
UTRN	13
CALD1	30
CNN1	4
CNN2	2
EDNRA	46
ITGA1	137
ITGB5	159
LMOD1	24
MYH14	30
MYL10	42
MYL12A	59
MYL12B	52
MYL5	42
MYL6	50
MYL6B	41
MYL7	42
MYL9	52
MYLPF	46
SMAD2	176
SMAD3	208
SMAD4	220
SORBS1	41
TAGLN	2
TLN1	126
TPM1	54
TPM2	50
TPM3	52
TPM4	49
VCL	151
RELA	427
CASP6	30
CASP7	45
CTTN	133
HSPA8	382
ETS1	185
EZR	92
RDX	70
FLNA	109
ACTL6A	87
ACTL6B	24
ACTN2	139
ACTN4	99
ACTR3B	26
ACTR3C	26
ACTR5	31
ACTR8	31
AHNAK	4
AHNAK2	4
ARHGAP10	14
ARID1A	53
ARID1B	20
ARID2	18
ARPC5L	30
ATF2	213
B2M	123
BAZ1B	51
BCLAF1	50
BRD7	23
BRD8	19
CCNT2	150
CCT2	60
CCT3	60
CCT4	61
CCT5	61
CCT6A	47
CCT7	48
CCT8	62
CDK5R2	4
CETN2	177
CFL2	13
COL10A1	61
COL11A1	72
COL11A2	64
COL12A1	65
COL13A1	54
COL14A1	60
COL15A1	62
COL16A1	58
COL17A1	63
COL19A1	54
COL1A1	92
COL1A2	88
COL2A1	72
COL3A1	76
COL4A1	79
COL4A2	82
COL4A3	73
COL4A4	74
COL4A5	75
COL4A6	70
COL5A1	73
COL5A2	64
COL5A3	64
COL6A1	88
COL6A2	70
COL6A3	72
COL7A1	95
COL8A1	64
COL8A2	55
COL9A1	67
COL9A2	67
COL9A3	69
COPS2	205
COPS3	198
COPS4	198
COPS5	212
COPS6	196
COPS7A	191
COPS7B	191
COPS8	192
CORO1A	16
CTNNA3	97
CUL4A	126
