nodeName	Pagerank
0	0.050886562619663754
1	0.05095798831596391
2	0.021095350030701208
3	0.03972879810020909
4	0.02085065313527333
5	0.016149853651294267
6	0.03203021159853069
7	0.013119011666491938
8	0.017820587142306766
9	0.06042123486229554
10	0.015753121154550093
11	0.0069561454722121985
12	0.0152738906076453
13	0.009747867636536598
14	0.006690066691951354
15	0.013093113246202522
16	0.009961274946345196
17	0.012656205422660043
18	0.007095495015663126
19	0.013058689519279063
20	0.023655086900310634
21	0.007408273024906717
22	0.009697607732071737
23	0.0068522701996222134
24	0.00700968053626024
25	0.00999259643691102
26	0.006842641292976919
27	0.006833741224544585
28	0.012863570626930474
29	0.009992894847081693
30	0.010038847003420224
31	0.022268497678168075
32	0.00952257107267008
33	0.012788393911983635
34	0.010165878359064235
35	0.01577869140501981
36	0.016102414734207246
37	0.009526724906233658
38	0.012972643933408187
39	0.00698508195930796
40	0.012653841834192856
41	0.01645007552266515
42	0.009747553473572899
43	0.007083005871319591
44	0.007346289605935271
45	0.010032179671869566
46	0.015831614824612955
47	0.007542182938694866
48	0.00740294315302132
49	0.010569820284934113
50	0.007060417484737345
51	0.007077119200422866
52	0.006794451755735953
53	0.010384070932700464
54	0.007366667639632032
55	0.010232741462186057
56	0.006998634761111237
57	0.007626233109613441
58	0.010528652138148822
59	0.010515783183922189
60	0.007144309786624593
61	0.010467321996276363
62	0.00727101432586728
63	0.010640589268546378
64	0.007569907331581638
65	0.006877523089980572
66	0.00755850669996363
67	0.006693266512041758
68	0.007061795934042443
69	0.0068522701996222134
70	0.00761235867207455
71	0.007353611381308646
72	0.00745081360909605
73	0.006981882139217556
74	0.006976142328957257
75	0.0075781177503897994
76	0.0072491267940044835
77	0.006800356771388634
78	0.007003011791382385
79	0.006969566147729402
