nodeName	Degree
UQCC1	4
ASB13	30
UNKL	27
TNIP3	33
ACBD4	14
THADA	5
SEMA4G	32
MLST8	16
CARD9	138
CD209	19
PPP1R21	28
EBI-25844254	4
EBI-25835277	38
TENT5B	78
ALKBH8	5
TSACC	7
WWOX	111
SUFU	39
KLF3	29
METTL13	7
EBI-25839325	4
SPATA46	12
EBI-25839678	14
EBI-25847041	3
FAAP20	31
TMPRSS6	4
SPATS1	25
uniprotkb:hCG_1818547	3
NAA38	6
LOXL4	19
ZHX1-C8orf76	19
EBI-25835866	20
EGFL8	12
TMTC1	24
RNF208	27
ARMCX4	2
FAM163A	20
EBI-25839738	4
INCA1	249
IHO1	64
ABI1	37
YWHAZ	141
NCK2	132
PAK2	16
PALLD	4
EGFR	274
VPS37C	91
EFS	20
HEL2	2
WAS	12
ATPAF2	74
SH2D4A	74
CBLB	32
DLGAP4	19
WASL	32
TEPSIN	124
SOCS7	17
EIF3H	21
ACTN4	19
SH3GL1	24
CBL	34
ADAM15	21
ADAM9	5
ITCH	18
ATXN2	14
EMD	91
EGFL6	2
PTPN23	14
RAPH1	1
SOS1	15
UBC	64
SOS2	5
TNK2	15
ATRAID	3
FASLG	28
OCRL	14
DNM3	2
WASF1	16
REPS2	5
YWHAE	61
YWHAB	49
FLNB	8
FLNA	71
DOCK1	5
PTPN6	22
RB1	39
BTK	12
PTK2	27
KHDRBS1	19
HSPB1	228
CSK	12
LCP2	18
PARD6A	10
BCR	8
RAPGEF1	5
MAP4K5	2
EPHB1	3
VAV3	4
H4-16	54
HNRNPK	90
RUVBL2	33
ANXA2	10
EEF2	6
NCL	12
H2BC9	6
WDR1	1
HSPA8	52
HSPA5	32
SPTBN1	5
PRMT5	43
RUVBL1	35
PKM	16
SLC25A3	6
DBN1	6
PPIA	36
HNRNPA2B1	14
MYL12A	2
MYH9	15
PRRC2A	3
RHOU	4
GAB1	9
BLNK	3
ERBB3	23
ERBB2	62
ERBB4	15
MED28	23
LAT	68
PLD2	5
MAP4K1	11
SHANK3	15
SYNJ2	1
DLGAP1	8
DAB2	8
ASAP1	11
ACAP1	11
DARS1	3
PIK3C2B	5
SF3B4	35
AGER	15
SPRY2	60
PTPN1	30
TFG	56
PRKAB1	7
PLCG1	33
PTPN22	7
KIT	7
STAMBP	22
INPPL1	6
PIK3R2	20
PSTPIP2	3
CAD	5
LRRK1	9
CD2AP	13
UBASH3B	36
TOM1L1	6
LY6G6F	2
AXL	6
EP300	35
ERRFI1	6
PDCD6IP	14
WIPF1	11
WIPF2	4
WDR44	2
ARHGEF5	22
WBP11	17
PIK3AP1	2
PEAK1	2
WIPF3	2
ELMO2	2
SLC25A5	4
GIT1	14
PIK3R3	69
SLC25A6	14
PIK3CA	10
PIK3CB	6
GAREM2	1
TSG101	57
PPARA	23
SOCS4	16
TMEM128	58
VCP	52
ARL6IP4	35
LMO2	157
TRIM27	273
TLE5	313
EBI-10220116	3
FAM22F	20
ZBTB7B	21
EBI-10178797	39
HOMEZ	28
PNMA5	62
DDX17	21
TP53BP2	109
EPS8	14
DPPA4	23
C1orf94	71
IKZF3	137
ARHGAP9	12
LZTS2	202
ABI3	64
NIF3L1	55
SRGAP3	14
CPSF7	28
ZNF341	16
TBC1D3G	8
ARID5A	108
GGN	18
ANKRD23	23
MED19	27
TRIB3	75
PHETA1	14
KIAA0408	31
AGR2	87
MEI4	36
ZNF474	29
EBI-22412087	24
EFHC2	93
SH2B1	4
ZBTB12	3
SF3A2	25
MYG1	44
TYRO3	15
PLEKHA7	24
TXK	23
DTX3	25
SPATA2L	21
ZNF620	71
PRR5-ARHGAP8	4
BTG1	4
CCDC28B	11
PTPRE	1
VPS37B	26
ADAM10	16
NFE2L2	45
ARHGDIB	3
RAB11B	12
EIF2B4	9
JADE2	11
LPIN1	21
TNFAIP1	27
BECN1	59
ZNF232	25
ASCL4	45
TMEM185A	9
KLF15	42
ITGB3BP	35
CBWD1	8
ADAMTSL4	213
EPS15	14
CDC42	31
DISC1	152
AP2B1	58
NPHS1	2
KDR	15
GHR	9
ABL2	8
FYB1	5
CD3E	10
RASA1	9
LRFN4	12
GMPPA	12
EBI-16436244	104
FCHO1	39
SORBS3	113
NHSL2	26
STK38	11
GABARAP	39
TNKS	15
FGFR1	18
MAGEA6	72
NOS3	49
PPP1R8	5
PPP1CA	62
AIFM1	7
FADD	22
DFFA	4
SFN	38
VDAC1	14
YWHAQ	77
TUBA1A	37
AKT1	65
SF3B3	15
HSP90AA1	65
EPRS1	8
PRKACA	66
CBX3	44
SEM1	13
CSE1L	11
KPNB1	26
NUP107	7
NUP133	6
NUP160	5
SNAPIN	45
CKAP5	4
EEF1G	19
RPS11	3
RPS13	5
RPS15A	14
RPS14	8
RPL12	2
HSP90AB1	116
RPS16	4
RPS3A	6
RBBP7	26
RPL3	4
PRKDC	24
RPS3	15
MYO1B	4
RPL24	4
RPL30	2
RPS20	6
TUBB4B	1
ACTG1	16
TUBB	22
MYO1C	2
TUFM	14
CYFIP1	11
TUBG1	23
SQSTM1	43
DNAJA1	10
DDB1	23
HSPA9	16
EEF1A2	8
TUBB4A	2
BAG2	16
RPL11	16
ATP5PO	27
SFXN1	17
MSH2	11
RPS27	7
BAG5	19
SSR4	1
CCT3	34
TUBB6	7
RPL14	7
RPL13	7
RPL10A	5
SEC16A	10
PSMD2	26
PSMD11	13
PCNA	41
HACD3	3
PFKP	5
SLC25A11	10
PSMD6	18
RPS7	5
RPP25	29
DIS3	4
NEK1	6
RAB29	5
LDHA	4
RBM39	37
ACIN1	9
TMPO	6
RAB5B	5
RPS2	5
CFAP20	18
AGO2	32
PRPF6	16
MAP2K3	4
DVL3	147
CUEDC1	8
DIAPH1	6
SENP3	9
RAB1B	4
RIF1	5
TUBB2A	10
RGS2	16
CHGB	1
GAK	5
ARFGAP1	16
ECHS1	3
MOGS	1
PTCD3	5
CDC42EP3	2
DVL1	11
RAB10	8
DVL2	23
TCF25	10
COQ8A	54
PRDX3	5
SF3B2	18
CSNK1D	62
MATK	5
LMNB1	18
LRP6	14
ADRM1	21
RANBP2	6
MMS19	10
RO60	1
MDN1	2
PPP2R2A	18
OPA1	5
RPL34	2
SLC25A22	1
SPTLC1	14
COPG2	4
TTC27	1
LAS1L	1
KHSRP	2
SAMHD1	4
MTHFD2	3
ZRANB2	5
NCLN	4
USP39	5
PAK6	9
CNP	3
TPR	2
PYGB	5
VPS4A	5
WSB1	3
MRPL19	3
LARP7	9
CHD1L	2
AHCYL1	29
LRRC47	1
ABCE1	2
KIF2A	7
LARP4	9
LMNB2	28
NDUFAF7	1
ANKS4B	2
RAB32	5
RAB12	3
EBI-25831191	23
SPATA22	21
SETDB1	135
LMO3	216
NAA10	50
NAF1	25
ZNF575	25
SERTAD3	51
ARL14EP	4
MEOX2	653
RIC8A	8
PBX4	70
GSC2	57
HDAC6	18
SH3BP2	11
CDC37	155
RPL9	35
TFRC	30
CIZ1	3
PLEKHA1	2
P4HB	51
SH3GL3	15
STAP1	3
ARAP3	1
MAP3K4	4
DDN	1
CAPZA1	10
CD2	5
CAPZA2	14
BHLHB9	57
CYSRT1	515
KPRP	105
EBI-22311199	159
CCDC57	146
POLR2K	2
NELFA	16
CCDC88B	37
ANKS1A	84
EBI-22317115	32
DENND2A	1
RTKN2	1
MICALL1	6
ARAP1	4
USP27X	1
ARHGAP17	2
KIF1B	295
RNF11	238
CASP3	14
CASP1	25
TGFBR2	71
PDPK1	22
MYLIP	37
FANCG	35
STK36	8
SERPINH1	38
HDAC10	10
CCT6A	31
PSMD7	18
RPL6	6
EWSR1	27
ARHGAP19	2
RAD23A	53
OTUB2	24
USP13	7
SOX14	16
TEX11	59
POC1A	9
FOXD4L6	18
TERF2	36
RNF111	29
MKL1	24
EBI-25973200	1
EBI-25958427	2
RBPMS	194
CCDC17	15
BSCL2	46
PALS1	17
SYTL5	8
TEX19	7
PIAS1	46
SPAG8	108
WWP1	4
TBX22	11
H2AP	18
HMMR	6
METTL7A	11
PARVA	6
WTAP	21
CREB5	131
RUSC1-AS1	18
CDKAL1	3
SELE	3
RNF31	20
PATZ1	89
ZHX3	7
ZMAT2	50
TLR10	4
LDHAL6B	21
DLGAP2	14
EBI-25866689	3
TELO2	11
EDRF1	13
C16orf54	7
PLAUR	7
FBLN1	25
MKRN3	151
NUP43	16
VPS37A	23
CRLF3	33
C7orf31	19
EBI-25974350	1
BCHE	9
IGFBP4	15
UNG	20
AKR7A2	6
MICAL2	8
MTF2	18
ASB3	33
LHX6	20
GORASP2	125
GDAP1	41
ADAM12	33
HAP1	30
NPHP1	10
PSMB1	102
FHL3	122
BRCA1	37
CDC5L	58
HSPA1A	21
SP1	28
TP53	178
CREBBP	31
SIN3A	21
TAF4	7
MED31	18
CRMP1	10
FEZ1	6
CHD3	22
ECH1	7
ELP1	8
XRCC6	26
PFN2	3
PIAS4	51
CEP126	11
PRPF40A	148
GPRASP2	36
UTP14A	19
TCERG1	2
PDK2	3
PACSIN1	12
WDFY3	15
UBE2K	77
MBD4	7
HOXC11	7
OSTF1	7
IFT20	62
UBAC1	31
NUP58	111
HEY2	18
TRAFD1	4
MBD1	13
HMG20A	64
ZFYVE19	9
RNF20	14
TACC1	13
MRFAP1L1	50
ERCC6L	5
XAGE3	4
MAGEB18	11
MAGEB6	20
MEOX1	99
RPL4	9
ZFC3H1	19
NME4	49
PSMD4	13
DNAJC4	4
WAC	8
ZBTB16	59
MKRN2	12
MED15	8
CEP63	43
DNAJA3	34
RNF40	12
SP3	9
PPL	34
DCTN2	28
JAKMIP1	15
KLF11	242
CTNNB1	85
GTF3C3	67
TXNDC11	7
PRMT2	6
HYPK	5
ODF2L	2
CHMP4B	16
GAPDH	33
NFKB1	26
COPB1	12
PPARG	15
PTK6	29
TANK	12
PPA2	1
SRRT	4
HAX1	16
MTUS1	5
WDR91	3
EZR	20
DYNC1H1	56
KPNA3	45
CUL5	36
BCAP31	12
ENO1	7
CCT8	27
CHCHD2	30
EEF1D	24
SYT2	25
OPCML	6
VDAC2	31
GPM6A	5
LANCL1	2
GNAO1	10
GNB2	34
NDUFS1	25
PRNP	16
CYC1	3
NDUFA13	12
NDUFS5	12
NDUFB10	9
SNAP25	11
SEPTIN7	4
NDUFB9	3
STXBP1	16
SYP	39
COX6C	3
DPYSL2	2
NDUFA9	12
COX5B	34
GFAP	209
CD59	5
GNB1	11
COX6A1	2
NPTN	2
ASPH	67
HNRNPC	34
HMGB1	15
ULK1	21
CNOT7	11
SEC13	19
STRAP	8
WDR61	47
VIM	104
VPS28	36
UFD1	4
PSMD14	19
PSMB2	21
PSMA6	32
PSMA7	18
PSMA4	16
RANGAP1	9
RAE1	6
MATR3	16
PRRC1	4
PPIH	12
PPGB	41
PLEC	6
IPO4	6
IMMT	14
EIF4E2	41
EIF3G	12
EIF3I	10
DYNLL1	69
EEF1B2	5
G3BP1	18
FASN	7
FLOT1	10
CNOT10	5
CALM1	46
CETN2	10
DNAJB6	74
COPS3	57
ST13	11
ALDOA	7
EBI-25911596	8
RNF112	25
DAPP1	6
MKNK1	7
CAPN10	8
TRIM21	32
RAPSN	7
PACS1	12
ZNF641	15
H3C13	19
EBI-25892128	2
EBI-25866366	2
EBI-25861394	9
EBI-25849442	16
EBI-25832355	5
TNFRSF11B	4
EBI-25866297	2
CLEC11A	6
MECP2	47
USP24	3
EBI-25942867	1
E2F8	20
SYCE3	11
BIRC5	24
TIMM8A	15
EBI-25859406	7
HPRT1	11
EBI-25836274	11
LSM8	16
LCA5L	24
EBI-25832170	4
EBI-25872354	3
RXRG	17
MSX2	38
VHL	78
STX16	11
NPFF	7
NACAD	3
CBS	20
SUMO3	14
SPIB	2
CASP7	13
MNAT1	8
CCNC	81
HOXA5	7
MMUT	4
PLEKHG7	27
TBP	24
MOG	3
TBR1	8
RTN1	4
TMEM115	14
DALRD3	13
AGK	1
HYAL2	17
LCE1B	79
SEPTIN6	21
KRT33B	76
ZNF57	22
LHX8	38
TRIP10	28
PPP2R5E	15
BATF	19
MORF4L2	56
H3-5	24
LINC00518	12
SASS6	10
PELO	26
FAM9A	59
CENPV	21
TASOR2	57
OOSP2	3
ANKRD13D	17
ATG4C	1
CCDC7	3
PDLIM5	12
TWIST2	16
DPYSL5	19
HAUS7	11
LNX2	26
SYT3	8
COG8	12
TTC1	9
KCTD15	18
ZNF436	25
MRPL13	2
GALNT4	2
SULT4A1	15
CRACR2A	39
HES4	8
PINK1	20
SOX7	6
USP32	8
CLRN3	1
uniprotkb:hCG_1998195	4
ZNF557	10
MSRB2	13
LUC7L2	14
PRUNE2	18
CHMP1A	16
LHX5	26
LIN28A	6
BPESC1	4
KRTAP9-2	151
RNF38	17
TMEM30A	12
TOMM22	7
DAXX	73
GFOD1	25
EBI-25850694	5
EBI-25850457	9
RCAN3	5
PLA2G4C	3
STUB1	74
TUBGCP4	21
GIMAP2	1
ZNF180	15
STAM2	38
EIF1AY	3
PSMC3	23
NCF1	16
PPP6R2	2
YIF1A	78
ERICH2	6
SFXN3	18
EBI-25851697	15
DLX3	13
ZBTB24	75
PQBP1	8
F8A1	1
FKBP2	5
S100P	15
NUDT1	14
EIF2S2	16
KRT19	77
CKM	3
TRIM49	5
MT2A	17
CDS2	37
SLC1A2	2
GSK3A	13
MAGEA3	15
RPS27A	16
SPCS3	4
ATP6V0D1	5
DLST	78
RBM11	33
IMPA1	5
ZNF138	19
MAZ	5
CDH13	2
ADIPOQ	61
ZKSCAN8	23
FAM76B	20
CRELD2	11
SNW1	123
AHDC1	5
FAM78A	4
PPARD	8
MED22	13
NUFIP2	70
ZNF497	50
GPR141	13
BBX	2
ENKUR	14
RUFY4	11
ZFP2	14
METTL27	48
RYBP	65
RINT1	94
TEN1	18
ZBP1	5
SYMPK	16
LARP4B	22
ZKSCAN3	17
HIRIP3	3
BBLN	12
CEP70	217
CXorf38	17
SMARCD1	133
MALSU1	12
SMURF1	19
NUDT4	4
CCNB1IP1	10
KIAA0040	6
KLF12	13
CPT1B	4
STRC	4
TIGD1	4
NDN	10
ZNF286A	19
UBQLN2	245
uniprotkb:CCR4-associated factor 1	2
EBI-25843370	10
EBI-25950727	1
EBI-25861918	3
EBI-25835814	13
EBI-25950683	1
EDF1	5
EBI-25950715	1
EBI-25850770	7
NOD1	11
TRIM35	40
ZNF281	4
ZHX1	5
ABT1	15
ZMYM6	17
DES	40
CCNE2	4
AKR1A1	3
ZSCAN9	25
ZNF500	8
KLK8	14
EBI-25900554	2
KRT18	32
AP3B1	8
uniprotkb:Q0VG74	1
RPL18	6
NME5	7
BEX3	30
ID2	27
PDE1A	1
HADHA	12
KRT20	36
RPL27	6
KRTAP10-7	278
CRYBA2	31
RBM5	14
ZNF829	34
ZXDC	22
SP6	16
SPINK13	1
AOC3	10
DENND2B	2
FASTKD1	11
OTOGL	1
C1D	15
RIPPLY2	12
GPC3	2
GRIK2	3
TADA2B	10
ANKHD1	16
P3H3	9
C22orf39	49
ARMCX5	2
SHLD1	11
CAMKK1	15
FBH1	4
SLC44A5	9
EPS8L1	9
FANK1	6
NLRP1	6
L3MBTL3	66
NSMF	34
MPND	21
TMUB2	37
NGEF	9
SUMF2	12
MEAF6	12
CDCA7	2
AK3	10
PUF60	29
DDX41	13
CSTPP1	13
C7orf50	4
MAF1	4
EBI-25894571	3
EBI-25853680	4
SAMD4A	14
EBI-25958481	1
EBI-25860809	2
EBI-25958395	1
GPIHBP1	2
CHCHD3	43
PALMD	4
PAK5	34
CDC7	29
ING4	14
CCDC9	4
VPS4B	6
CHMP2A	6
FSBP	11
ENTPD5	2
KMO	1
TGDS	1
RBFOX2	28
PSMD3	14
KCNMB2	2
PCDHGB1	2
EBI-25958350	2
SNAP29	29
PES1	6
IPO5	11
FBP1	6
TCP1	34
SSB	8
