nodeName	Degree
MRPL19	146
SRP68	87
EPRS	205
RPL27	203
RPSA	248
EIF3L	73
DIRC3	121
UBA52	669
EIF3M	116
RPP25	80
RPS27A	747
SRP9	89
ENSG00000260836	132
PDCD4	18
CCDC124	80
RPL36A-HNRNPH2	111
MRPL46	107
RPL36AL	117
SRP14	86
RSRC1	115
NACA	85
CCT7	161
MRPS9	162
MRPL47	110
CCT8	137
MRPS18C	98
PSMC4	153
RPL39L	111
RPS15	259
PABPC1	157
RPL17	183
CSNK1D	89
RPL12	205
POLR1C	194
RPP21	68
EEF2	203
RPL22L1	128
RPS12	194
EIF5A	79
RPL28	184
EIF5A2	57
HBS1L	110
MRPS18A	97
MRPS6	149
EEF1G	196
COX6A2	91
RPS20	258
MRPL1	156
RPL6	199
SRP54	105
RPL10L	137
CCT4	166
TRMT112	83
EIF3J	68
RPS21	209
DHX29	53
EIF3D	109
EIF1	78
ICT1	123
MRPL20	134
RPS26	223
RPL29	182
EIF3K	76
RPL35A	200
EXOSC7	58
RPL23	262
DICER1	120
RPS25	215
EIF5AL1	54
MRPL36	158
SEC61B	144
HBA2	45
EIF3H	105
RPP14	67
RPL35	232
MRPL27	156
RPL22	167
RPS19	264
RPL10A	196
EIF2D	41
HBA1	44
BTF3	87
PLEC	136
RPS2	300
BTF3L4	59
MRPS14	182
EIF2A	44
MRPS5	196
EIF1AX	110
MRPL13	201
EEF1A1	176
EIF1AD	43
NPSR1	125
CARS	118
MRRF	124
RPL8	253
MRPL17	163
SERBP1	96
ENSG00000262660	76
TPT1	134
IFRD2	46
EIF2S2	97
ABCE1	194
EIF3A	107
PSMC1	152
RPP40	67
MRPL12	139
EIF2S3	129
EIF3B	153
DAP3	111
DOCK4	126
MRPL15	183
RPL7L1	135
EIF3I	145
RPL37	154
MRPL11	195
DENR	56
SLC5A4	12
CSNK1E	93
EIF3E	110
RPL26L1	152
CCT5	169
RPS10	193
RPL26	210
RPS17	215
EEF1B2	136
RPL10	160
EDF1	55
RPS29	239
RPL17-C18orf32	136
PSMC2	165
RPLP2	143
MRPS11	184
EIF5	54
MRPS10	186
MRPS12	185
SRP19	91
SEC61A1	168
RPL15	231
GUF1	40
RPLP1	137
RIOK3	54
EIF1B	53
CCT2	168
MRPL33	135
MRPL9	133
MRPL2	195
RPL31	206
SEC61G	127
EIF5B	161
RSC1A1	7
MRPL4	170
RPS3	290
FAU	249
C18orf32	125
RPL9	265
RPL36A	158
RPP25L	10
SSB	95
ERN1	60
POP4	32
KIAA0391	31
AGO1	108
AGO2	155
POP1	36
DHX9	149
ADAL	16
CLP1	52
AGO4	99
HSD17B10	45
PRKRA	32
ZNRD1	97
NXPE3	4
BBS10	106
SSBP1	37
DGCR8	39
NPM2	14
B3GALNT1	17
TOMM22	64
DROSHA	85
POLR2H	126
TRIM39-RPP21	12
POP7	36
POP5	38
AGO3	99
TARBP2	34
POLI	44
NOL12	78
EXOSC5	93
NCL	131
HGH1	24
REXO4	34
POLR1D	130
ADA	54
POLR3F	60
TTC4	41
ZNF622	80
WBSCR27	23
PDCD2	7
EXOSC1	59
GPATCH4	15
ESR2	85
DHX34	15
ESR1	314
ENSG00000258724	12
CTU2	18
MOCS3	32
DPH3	22
CTU1	18
ELP6	13
ENSG00000267261	14
ALKBH8	35
TRIT1	21
ATAT1	2
KTI12	15
ELP4	24
KAT2A	168
MCM5	167
MMS19	44
HAT1	64
URM1	37
IKBKAP	19
DPH2	12
KAT6A	61
ELP2	21
ELP5	7
DPH1	11
KAT2B	264
GPATCH8	28
FAM199X	4
CRNKL1	111
NUDCD1	9
DDX59	4
CCDC94	60
LRIT2	6
PRPF19	186
FANK1	3
TFIP11	69
UROS	13
PPP1CA	190
TRIM28	95
SRSF1	178
PPP1CC	172
SIPA1	7
PDXK	9
NSUN5	8
PPP1CB	136
DNAJC9	19
POLR3K	56
CSTB	14
YTHDC2	37
TMED2	52
DNAJC2	27
C9orf114	15
TIMM22	44
BRD4	75
SMTNL1	13
THADA	20
DHX35	41
FAM73B	4
C17orf97	1
BRD3	14
TRMT10A	22
PRMT1	112
CECR1	12
GAMT	35
ARMCX3	5
TRMT5	34
LRRC19	5
DUS4L	9
DUS1L	25
TRMT2B	15
TMEM214	14
ZCCHC10	4
TRMT13	4
ADAT3	20
PRMT8	11
IMMP2L	9
N6AMT1	37
PRMT3	9
TRMT2A	21
KIAA1456	3
AFF2	4
CUL4B	104
AKAP4	24
DPH5	23
GTF3C6	10
AMD1	19
POLR2E	171
WDR55	7
AAMP	26
KIAA1919	15
DHODH	19
TFAP2A	39
NPM1	119
NSUN7	8
TRDMT1	13
PPRC1	11
CHD4	164
HSP90AA1	447
AKT1	478
PPP2R5D	115
MVP	5
PRKCA	220
TNKS	33
PARP4	11
EIF4B	91
TERF1	70
CTPS1	56
NOP16	33
NOL9	14
DNAJC21	24
DUSP12	17
MDM2	242
TP53	723
SMARCA4	229
ELAC1	10
XPO1	146
DIS3	52
NXF1	115
WDR6	15
RANBP6	6
ELAC2	19
TNKS2	28
SLC35G1	5
KAT7	44
INPP5A	31
PLCE1	59
GPN3	30
HEATR3	5
RPIA	35
CTPS2	32
DDB1	188
CDT1	127
DHX30	7
EXOSC6	43
DIS3L	33
EXOSC9	60
EXOSC3	60
EXOSC4	57
PUS3	18
PUS1	35
RPUSD2	12
TARBP1	16
SHQ1	14
TRMT44	6
PUS7L	20
PUS10	12
TRMT10B	24
FAM160B1	2
MAP7	2
SBDS	21
LARS2	50
MRPL43	108
LARS	56
POLR2B	173
SEC61A2	69
TARS2	36
MRPL24	157
FTH1	36
MRPS15	179
EFTUD1	30
POLR2C	179
MRPL3	163
ALG9	27
TARS	43
TNPO1	67
FDXACB1	19
XRN1	96
TARSL2	34
MRPS2	157
EIF2S3L	36
MRPL22	145
SYNCRIP	93
QARS	90
EDC3	33
ENSG00000229117	26
UBB	535
GDPD4	6
NUFIP2	37
ABCF1	36
SLC25A5	38
LARP4B	29
SMKR1	53
NR0B1	47
MKI67	104
LEPROTL1	4
NRDE2	9
TBC1D12	3
PLEKHS1	8
MRPL53	92
DDX60	37
DHX36	14
CNRIP1	2
FAM207A	4
POLR3D	53
EXOSC8	45
DNTTIP1	6
DNTT	22
FAF1	38
NRM	11
SLU7	89
ZNHIT6	15
NLRP6	12
CASP5	28
TRIM33	33
NLRP1	21
GSDMD	19
RNASEL	55
NLRC4	34
NLRP3	60
CASP1	85
DDX3X	84
SLC34A2	12
GADD45A	36
USP36	3
NLRP9	11
CARD8	19
MAVS	86
AIM2	25
PYCARD	34
POLE3	119
MPHOSPH6	19
NCBP1	191
RQCD1	39
NCBP2	177
WDR61	41
ALYREF	133
TTC37	21
PPWD1	46
PAPD7	29
ZCCHC7	19
MPP6	17
PABPN1	77
PAPOLG	25
CNOT2	37
SETX	37
PAPOLA	49
ZFC3H1	43
DIS3L2	30
CNOT4	43
DBR1	9
SNW1	160
ZCCHC8	17
IPO7	24
SRRT	52
